model,latency_ns,bw_gbs,granularity,transfers,transfer_ms,latency_ms,latency_share
Qwen3-235B-A22B,800,67.5,4 KB,9216,0.5592,7.3728,0.9295
Qwen3-235B-A22B,800,67.5,64 KB,576,0.5592,0.4608,0.4517
Qwen3-235B-A22B,800,67.5,512 KB,72,0.5592,0.0576,0.0934
Qwen3-235B-A22B,800,67.5,4096 KB,9,0.5592,0.0072,0.0127
Qwen3-235B-A22B,800,67.5,whole expert,1,0.5592,0.0008,0.0014
DeepSeek-V3,200,16.88,4 KB,21504,5.218,4.3008,0.4518
DeepSeek-V3,200,16.88,64 KB,1344,5.218,0.2688,0.049
DeepSeek-V3,200,16.88,512 KB,168,5.218,0.0336,0.0064
DeepSeek-V3,200,16.88,4096 KB,21,5.218,0.0042,0.0008
DeepSeek-V3,200,16.88,whole expert,1,5.218,0.0002,0.0
DeepSeek-V3,200,67.5,4 KB,21504,1.3049,4.3008,0.7672
DeepSeek-V3,200,67.5,64 KB,1344,1.3049,0.2688,0.1708
DeepSeek-V3,200,67.5,512 KB,168,1.3049,0.0336,0.0251
DeepSeek-V3,200,67.5,4096 KB,21,1.3049,0.0042,0.0032
DeepSeek-V3,200,67.5,whole expert,1,1.3049,0.0002,0.0002
DeepSeek-V3,300,16.88,4 KB,21504,5.218,6.4512,0.5528
DeepSeek-V3,300,16.88,64 KB,1344,5.218,0.4032,0.0717
DeepSeek-V3,300,16.88,512 KB,168,5.218,0.0504,0.0096
DeepSeek-V3,300,16.88,4096 KB,21,5.218,0.0063,0.0012
DeepSeek-V3,300,16.88,whole expert,1,5.218,0.0003,0.0001
DeepSeek-V3,300,67.5,4 KB,21504,1.3049,6.4512,0.8318
DeepSeek-V3,300,67.5,64 KB,1344,1.3049,0.4032,0.2361
DeepSeek-V3,300,67.5,512 KB,168,1.3049,0.0504,0.0372
DeepSeek-V3,300,67.5,4096 KB,21,1.3049,0.0063,0.0048
DeepSeek-V3,300,67.5,whole expert,1,1.3049,0.0003,0.0002
DeepSeek-V3,400,16.88,4 KB,21504,5.218,8.6016,0.6224
DeepSeek-V3,400,16.88,64 KB,1344,5.218,0.5376,0.0934
DeepSeek-V3,400,16.88,512 KB,168,5.218,0.0672,0.0127
DeepSeek-V3,400,16.88,4096 KB,21,5.218,0.0084,0.0016
DeepSeek-V3,400,16.88,whole expert,1,5.218,0.0004,0.0001
DeepSeek-V3,400,67.5,4 KB,21504,1.3049,8.6016,0.8683
DeepSeek-V3,400,67.5,64 KB,1344,1.3049,0.5376,0.2918
DeepSeek-V3,400,67.5,512 KB,168,1.3049,0.0672,0.049
DeepSeek-V3,400,67.5,4096 KB,21,1.3049,0.0084,0.0064
DeepSeek-V3,400,67.5,whole expert,1,1.3049,0.0004,0.0003
DeepSeek-V3,600,16.88,4 KB,21504,5.218,12.9024,0.712
DeepSeek-V3,600,16.88,64 KB,1344,5.218,0.8064,0.1339
DeepSeek-V3,600,16.88,512 KB,168,5.218,0.1008,0.019
DeepSeek-V3,600,16.88,4096 KB,21,5.218,0.0126,0.0024
DeepSeek-V3,600,16.88,whole expert,1,5.218,0.0006,0.0001
DeepSeek-V3,600,67.5,4 KB,21504,1.3049,12.9024,0.9082
DeepSeek-V3,600,67.5,64 KB,1344,1.3049,0.8064,0.3819
DeepSeek-V3,600,67.5,512 KB,168,1.3049,0.1008,0.0717
DeepSeek-V3,600,67.5,4096 KB,21,1.3049,0.0126,0.0096
DeepSeek-V3,600,67.5,whole expert,1,1.3049,0.0006,0.0005
DeepSeek-V3,800,16.88,4 KB,21504,5.218,17.2032,0.7673
DeepSeek-V3,800,16.88,64 KB,1344,5.218,1.0752,0.1709
DeepSeek-V3,800,16.88,512 KB,168,5.218,0.1344,0.0251
DeepSeek-V3,800,16.88,4096 KB,21,5.218,0.0168,0.0032
DeepSeek-V3,800,16.88,whole expert,1,5.218,0.0008,0.0002
DeepSeek-V3,800,67.5,4 KB,21504,1.3049,17.2032,0.9295
DeepSeek-V3,800,67.5,64 KB,1344,1.3049,1.0752,0.4517
DeepSeek-V3,800,67.5,512 KB,168,1.3049,0.1344,0.0934
DeepSeek-V3,800,67.5,4096 KB,21,1.3049,0.0168,0.0127
DeepSeek-V3,800,67.5,whole expert,1,1.3049,0.0008,0.0006
